trip_id,stop_id,next_stop_id,travel_time,u,v
4_I12-001_2023I12_1_1_4__1___,par_4_263,par_4_262,190.0,21,20
4_I12-001_2023I12_1_1_4__1___,par_4_262,par_4_261,127.0,20,19
4_I12-001_2023I12_1_1_4__1___,par_4_261,par_4_1,182.0,19,0
4_I12-001_2023I12_1_1_4__1___,par_4_1,par_4_2,81.0,0,11
4_I12-001_2023I12_1_1_4__1___,par_4_2,par_4_3,87.0,11,26
4_I12-001_2023I12_1_1_4__1___,par_4_3,par_4_4,120.0,26,27
4_I12-001_2023I12_1_1_4__1___,par_4_4,par_4_5,85.0,27,28
4_I12-001_2023I12_1_1_4__1___,par_4_5,par_4_6,68.0,28,29
4_I12-001_2023I12_1_1_4__1___,par_4_6,par_4_7,81.0,29,30
4_I12-001_2023I12_1_1_4__1___,par_4_7,par_4_8,117.0,30,31
4_I12-001_2023I12_1_1_4__1___,par_4_8,par_4_9,111.0,31,32
4_I12-001_2023I12_1_1_4__1___,par_4_9,par_4_10,75.0,32,1
4_I12-001_2023I12_1_1_4__1___,par_4_10,par_4_11,109.0,1,2
4_I12-001_2023I12_1_1_4__1___,par_4_11,par_4_12,51.0,2,3
4_I12-001_2023I12_1_1_4__1___,par_4_12,par_4_13,106.0,3,4
4_I12-001_2023I12_1_1_4__1___,par_4_13,par_4_14,77.0,4,5
4_I12-001_2023I12_1_1_4__1___,par_4_14,par_4_15,107.0,5,6
4_I12-001_2023I12_1_1_4__1___,par_4_15,par_4_16,48.0,6,7
4_I12-001_2023I12_1_1_4__1___,par_4_16,par_4_17,111.0,7,8
4_I12-001_2023I12_1_1_4__1___,par_4_17,par_4_18,85.0,8,9
4_I12-001_2023I12_1_1_4__1___,par_4_18,par_4_19,111.0,9,10
4_I12-001_2023I12_1_1_4__1___,par_4_19,par_4_20,74.0,10,12
4_I12-001_2023I12_1_1_4__1___,par_4_20,par_4_21,91.0,12,13
4_I12-001_2023I12_1_1_4__1___,par_4_21,par_4_22,88.0,13,14
4_I12-001_2023I12_1_1_4__1___,par_4_22,par_4_23,103.0,14,15
4_I12-001_2023I12_1_1_4__1___,par_4_23,par_4_24,100.0,15,16
4_I12-001_2023I12_1_1_4__1___,par_4_24,par_4_25,209.0,16,17
4_I12-001_2023I12_1_1_4__1___,par_4_25,par_4_26,79.0,17,18
4_I12-001_2023I12_1_1_4__1___,par_4_26,par_4_27,126.0,18,22
4_I12-001_2023I12_1_1_4__1___,par_4_27,par_4_293,107.0,22,23
4_I12-001_2023I12_1_1_4__1___,par_4_293,par_4_294,214.0,23,24
4_I12-001_2023I12_1_1_4__1___,par_4_294,par_4_295,102.0,24,25
4_I12-001_2023I12_2_1_4__1___,par_4_295,par_4_294,102.0,25,24
4_I12-001_2023I12_2_1_4__1___,par_4_294,par_4_293,215.0,24,23
4_I12-001_2023I12_2_1_4__1___,par_4_293,par_4_27,107.0,23,22
4_I12-001_2023I12_2_1_4__1___,par_4_27,par_4_26,125.0,22,18
4_I12-001_2023I12_2_1_4__1___,par_4_26,par_4_25,80.0,18,17
4_I12-001_2023I12_2_1_4__1___,par_4_25,par_4_24,209.0,17,16
4_I12-001_2023I12_2_1_4__1___,par_4_24,par_4_23,99.0,16,15
4_I12-001_2023I12_2_1_4__1___,par_4_23,par_4_22,103.0,15,14
4_I12-001_2023I12_2_1_4__1___,par_4_22,par_4_21,89.0,14,13
4_I12-001_2023I12_2_1_4__1___,par_4_21,par_4_20,90.0,13,12
4_I12-001_2023I12_2_1_4__1___,par_4_20,par_4_19,74.0,12,10
4_I12-001_2023I12_2_1_4__1___,par_4_19,par_4_18,112.0,10,9
4_I12-001_2023I12_2_1_4__1___,par_4_18,par_4_17,84.0,9,8
4_I12-001_2023I12_2_1_4__1___,par_4_17,par_4_16,111.0,8,7
4_I12-001_2023I12_2_1_4__1___,par_4_16,par_4_15,49.0,7,6
4_I12-001_2023I12_2_1_4__1___,par_4_15,par_4_14,107.0,6,5
4_I12-001_2023I12_2_1_4__1___,par_4_14,par_4_13,76.0,5,4
4_I12-001_2023I12_2_1_4__1___,par_4_13,par_4_12,107.0,4,3
4_I12-001_2023I12_2_1_4__1___,par_4_12,par_4_11,51.0,3,2
4_I12-001_2023I12_2_1_4__1___,par_4_11,par_4_10,109.0,2,1
4_I12-001_2023I12_2_1_4__1___,par_4_10,par_4_9,75.0,1,32
4_I12-001_2023I12_2_1_4__1___,par_4_9,par_4_8,111.0,32,31
4_I12-001_2023I12_2_1_4__1___,par_4_8,par_4_7,116.0,31,30
4_I12-001_2023I12_2_1_4__1___,par_4_7,par_4_6,81.0,30,29
4_I12-001_2023I12_2_1_4__1___,par_4_6,par_4_5,69.0,29,28
4_I12-001_2023I12_2_1_4__1___,par_4_5,par_4_4,84.0,28,27
4_I12-001_2023I12_2_1_4__1___,par_4_4,par_4_3,120.0,27,26
4_I12-001_2023I12_2_1_4__1___,par_4_3,par_4_2,88.0,26,11
4_I12-001_2023I12_2_1_4__1___,par_4_2,par_4_1,81.0,11,0
4_I12-001_2023I12_2_1_4__1___,par_4_1,par_4_261,182.0,0,19
4_I12-001_2023I12_2_1_4__1___,par_4_261,par_4_262,126.0,19,20
4_I12-001_2023I12_2_1_4__1___,par_4_262,par_4_263,190.0,20,21
4_I12-002_2023I12_1_1_4__2___,par_4_325,par_4_324,129.0,42,41
4_I12-002_2023I12_1_1_4__2___,par_4_324,par_4_323,162.0,41,40
4_I12-002_2023I12_1_1_4__2___,par_4_323,par_4_322,212.0,40,39
4_I12-002_2023I12_1_1_4__2___,par_4_322,par_4_260,164.0,39,33
4_I12-002_2023I12_1_1_4__2___,par_4_260,par_4_28,211.0,33,34
4_I12-002_2023I12_1_1_4__2___,par_4_28,par_4_29,92.0,34,35
4_I12-002_2023I12_1_1_4__2___,par_4_29,par_4_30,94.0,35,36
4_I12-002_2023I12_1_1_4__2___,par_4_30,par_4_31,62.0,36,37
4_I12-002_2023I12_1_1_4__2___,par_4_31,par_4_32,80.0,37,38
4_I12-002_2023I12_1_1_4__2___,par_4_32,par_4_33,111.0,38,43
4_I12-002_2023I12_1_1_4__2___,par_4_33,par_4_34,68.0,43,44
4_I12-002_2023I12_1_1_4__2___,par_4_34,par_4_35,51.0,44,45
4_I12-002_2023I12_1_1_4__2___,par_4_35,par_4_36,73.0,45,46
4_I12-002_2023I12_1_1_4__2___,par_4_36,par_4_37,64.0,46,47
4_I12-002_2023I12_1_1_4__2___,par_4_37,par_4_38,61.0,47,48
4_I12-002_2023I12_1_1_4__2___,par_4_38,par_4_39,93.0,48,49
4_I12-002_2023I12_1_1_4__2___,par_4_39,par_4_40,42.0,49,50
4_I12-002_2023I12_1_1_4__2___,par_4_40,par_4_41,105.0,50,51
4_I12-002_2023I12_1_1_4__2___,par_4_41,par_4_42,113.0,51,52
4_I12-002_2023I12_2_1_4__2___,par_4_42,par_4_41,112.0,52,51
4_I12-002_2023I12_2_1_4__2___,par_4_41,par_4_40,106.0,51,50
4_I12-002_2023I12_2_1_4__2___,par_4_40,par_4_39,42.0,50,49
4_I12-002_2023I12_2_1_4__2___,par_4_39,par_4_38,93.0,49,48
4_I12-002_2023I12_2_1_4__2___,par_4_38,par_4_37,60.0,48,47
4_I12-002_2023I12_2_1_4__2___,par_4_37,par_4_36,65.0,47,46
4_I12-002_2023I12_2_1_4__2___,par_4_36,par_4_35,73.0,46,45
4_I12-002_2023I12_2_1_4__2___,par_4_35,par_4_34,51.0,45,44
4_I12-002_2023I12_2_1_4__2___,par_4_34,par_4_33,68.0,44,43
4_I12-002_2023I12_2_1_4__2___,par_4_33,par_4_32,111.0,43,38
4_I12-002_2023I12_2_1_4__2___,par_4_32,par_4_31,79.0,38,37
4_I12-002_2023I12_2_1_4__2___,par_4_31,par_4_30,63.0,37,36
4_I12-002_2023I12_2_1_4__2___,par_4_30,par_4_29,93.0,36,35
4_I12-002_2023I12_2_1_4__2___,par_4_29,par_4_28,93.0,35,34
4_I12-002_2023I12_2_1_4__2___,par_4_28,par_4_260,210.0,34,33
4_I12-002_2023I12_2_1_4__2___,par_4_260,par_4_322,164.0,33,39
